"STATION","NAME","DATE","ACMH","ACSH","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF1","WDF2","WDF5","WDFG","WESD","WSF1","WSF2","WSF5","WSFG","WT01","WT02","WT03","WT04","WT05","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT16","WT18","WT21","WV01","WV03","WV20"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-01-01","   30","   30",,," 2330","0.00","0.0","0.0",,"59","39",,"   60",,,"   68",,"16.1",,,"20.8","    1",,,,,,"    1",,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-01-02","    0","    0",,," 0324","0.00","0.0","0.0",,"54","40",,"   60",,,"   68",,"19.9",,,"21.9",,,,,,,"    1",,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-01-03","   10","    0",,," 2312","0.00","0.0","0.0",,"52","35",,"  290",,,"  293",,"8.9",,,"12.8",,,,,,,"    1",,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-01-04","   30","   40",,," 1030","0.00","0.0","0.0",,"52","38",,"  360",,,"  360",,"13.0",,,"15.0","    1",,,,,,"    1",,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-01-05","   60","   80",,," 1942","0.00","0.0","0.0",,"50","34",,"   60",,,"   68",,"14.1",,,"17.2",,,,,,,,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-01-06","   90","  100",,," 2136","0.00","0.0","0.0",,"49","34",,"   80",,,"   90",,"12.1",,,"15.0",,,,,,,"    1",,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-01-07","  100","  100",,," 2342","0.01","0.0","0.0",,"51","41",,"  120",,,"  113",,"15.0",,,"24.2",,,,,,,"    1",,,,,,"    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-01-08","  100","  100",,," 1918","0.13","0.0","0.0",,"57","48",,"  150",,,"  158",,"30.0",,,"39.1",,,,,,,,,,,,,"    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-01-09","  100","  100",,," 1336","0.57","0.0","0.0",,"60","50",,"  150",,,"  158",,"36.0",,,"51.7","    1",,,,,,,,,,,,"    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-01-10","   90","   90",,," 0148","0.02","0.0","0.0",,"58","50",,"  260",,,"  270",,"17.0",,,"21.9",,,,,,,,,,,,,"    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-01-11","  100","  100",,," 0912","0.38","0.0","0.0",,"53","49",,"  130",,,"  113",,"17.0",,,"25.3","    1",,,,,,,,,,,,"    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-01-12","   90","   90",,," 1336","0.06","0.0","0.0",,"61","51",,"  190",,,"  180",,"19.9",,,"32.2","    1",,,,,,,,,,,,"    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-01-13","  100","  100",,," 1806","0.18","0.0","0.0",,"61","54",,"  140",,,"  180",,"21.9",,,"36.7","    1",,"    1",,,,,,,,,,"    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-01-14","   90","   90",,," 0712","2.09","0.0","0.0",,"61","52",,"  210",,,"  203",,"38.9",,,"49.4","    1",,,,,,,,,,,,"    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-01-15","  100","  100",,," 2030","0.53","0.0","0.0",,"59","51",,"  170",,,"  113",,"19.9",,,"26.4","    1",,,,,,,,,,,,"    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-01-16","   90","   80",,," 0454","0.81","0.0","0.0",,"64","55",,"  230",,,"  203",,"31.1",,,"47.2","    1",,,,,,,,,,,,"    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-01-17","  100","   90",,," 0200","0.00","0.0","0.0",,"60","53",,"  250",,,"  248",,"21.9",,,"26.4",,,,,,,,,,,,,"    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-01-18","   90","  100",,," 1318","0.00","0.0","0.0",,"60","51",,"  220",,,"  225",,"15.0",,,"16.1","    1",,,,,,"    1",,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-01-19","  100","  100",,," 1000","0.03","0.0","0.0",,"62","52",,"  180",,,"  158",,"19.9",,,"27.5","    1",,,,,,,,,,,,"    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-01-20","  100","  100",,," 2212","0.94","0.0","0.0",,"62","53",,"  200",,,"  180",,"23.0",,,"31.1","    1",,,,,,,,,,,,"    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-01-21","  100","  100",,," 1418","1.05","0.0","0.0",,"62","60",,"  200",,,"  203",,"23.0",,,"32.2","    1",,,,,,,,,,,,"    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-01-22","  100","  100",,," 0936","0.01","0.0","0.0",,"65","59",,"  190",,,"  180",,"16.1",,,"25.3",,,,,,,,,,,,,"    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-01-23","  100","  100",,," 1806","0.70","0.0","0.0",,"62","55",,"  180",,,"  180",,"40.9",,,"59.7","    1",,,,,,,,,,,,"    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-01-24","   90","  100",,," 0000","0.23","0.0","0.0",,"59","49",,"  180",,,"  225",,"25.9",,,"35.6",,,,,,,,,,,,,"    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-01-25","   80","   40",,," 1524","0.00","0.0","0.0",,"58","44",,"  280",,,"  293",,"10.1",,,"13.9",,,,,,,"    1",,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-01-26","   70","   80",,," 2336","0.00","0.0","0.0",,"60","46",,"  180",,,"  180",,"21.9",,,"35.6",,,,,,,,,,,,,"    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-01-27","   30","   10",,," 0100","0.58","0.0","0.0",,"58","45",,"  300",,,"  203",,"28.0",,,"41.4","    1",,,,,,,,,,,,"    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-01-28","    0","    0",,," 1024","0.00","0.0","0.0",,"57","41",,"  360",,,"  360",,"21.9",,,"27.5",,,,,,,,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-01-29","   50","   40",,," 1612","0.00","0.0","0.0",,"56","38",,"   30",,,"  135",,"12.1",,,"16.1",,,,,,,,,,,,,"    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-01-30","   30","   30",,," 1500","0.01","0.0","0.0",,"57","46",,"  280",,,"  293",,"17.9",,,"21.9","    1",,,,,,"    1",,,,,,"    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-01-31","   90","  100",,," 1424","0.00","0.0","0.0",,"56","41",,"  280",,,"  270",,"17.0",,,"21.9","    1",,,,,,,,,,,,"    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-02-01","   40","   50",,," 1524","0.00","0.0","0.0",,"58","47",,"  280",,,"  293",,"15.0",,,"17.2",,,,,,,,,,,,,"    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-02-02","   10","   10",,," 2124","0.00","0.0","0.0",,"63","40",,"  290",,,"  293",,"13.0",,,"16.1",,,,,,,,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-02-03","   50","   90",,," 1654","0.00","0.0","0.0",,"59","44",,"  300",,,"  293",,"12.1",,,"16.1",,,,,,,"    1",,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-02-04","   50","   30",,," 1624","0.00","0.0","0.0",,"62","45",,"  280",,,"  293",,"21.0",,,"30.0","    1",,,,,,"    1",,,,,,,,,,,
